LocationID,Area,Branch
1,Bamaw (mobile1),Mandalay
1,Kyaukse,Mandalay
1,Kyaukse (mini),Mandalay
1,Madayar (Mini),Mandalay
1,Magway (Mobile-2),Mandalay
1,Mer1,Mandalay
1,Mer2,Mandalay
1,Mer3,Mandalay
1,Mogoke Lower,Mandalay
1,Mogoke Lower ,Mandalay
1,Myin Gyan,Mandalay
1,Myit Nge (mini),Mandalay
1,Naypyitaw (mobile-1),Mandalay
1,Pakokku (mini),Mandalay
1,PLV1,Mandalay
1,PLV2,Mandalay
1,PLV3,Mandalay
1,PLV4,Mandalay
1,PLV5,Mandalay
1,POL (mini),Mandalay
1,POLPLT,Mandalay
1,POLSD,Mandalay
1,Prov,Mandalay
1,SagaingPlt,Mandalay
1,SagaingSD,Mandalay
1,SDV1,Mandalay
1,SDV2,Mandalay
1,SDV3,Mandalay
1,SDV4,Mandalay
1,SDV5,Mandalay
2,Retail SD,Taungyi
2,Mobile SDG (Provent East),Taungyi
2,Phonesale,Taungyi
2,Retail PLT,Taungyi
2,Mobile SDG (Provent West),Taungyi
3,Kayin Platinum,Mawlamyaing
3,Kayin Rich,Mawlamyaing
3,Kayin SD,Mawlamyaing
3,Mon Rich,Mawlamyaing
3,Mon SD,Mawlamyaing
3,Retail Rich,Mawlamyaing
3,Retail SD,Mawlamyaing
3,Shan Gyee Team(1),Mawlamyaing
3,Shan Gyee Team(2),Mawlamyaing
4,PS,Myitkyina
4,Retail - R,Myitkyina
4,Retail - S,Myitkyina
4,Shan Gyi,Myitkyina
4,Whole Sales,Myitkyina
5,Merchandising,Monywa
5,Retail-1,Monywa
5,Retail-2,Monywa
5,Whole Sales,Monywa
6,Mobile-1,Lashio
6,Mobile-2,Lashio
6,Retail-1,Lashio
6,Retail-2,Lashio
7,Mini,Shwebo
7,Mobile,Shwebo
7,Shan Gyi,Shwebo
7,Whole Sales,Shwebo
